,GRK2,β-arrestin2,miniGsi43,miniGo12,DNGoA_Gβγ,miniGsi43_Gβγ,miniGo12_Gβγ,Gi1_TP
Dopamine,99.47,100.8,99.05,102.9,96.41,93.41,96.73,97.54
Rotigotine,51.59,85.17,99.86,99.56,111,112.8,110.1,105.1
Pramipexole,59.24,88.53,93.67,86.56,105.1,105.2,93.01,104.9
UNC2458A,43.07,82.98,85.68,76.51,95.73,103.8,101.2,98.7
(R)-IHCH-7010,43.49,60,72.05,80.24,117,96.78,103.9,103.2
(S)-IHCH-7010,27.2,46.38,63.16,61.74,94.73,98.2,101.3,95.72
(R)-IHCH-7084,39.68,51.77,49.99,61.9,97.78,88.58,94.98,90.24
Lisuride,14.83,29.04,49.93,57.56,89.42,83.9,94.46,91.78
(R)-IHCH-7041,25.16,33.32,42.77,43.73,91.16,88.09,92.79,88.12
(S)-IHCH-7041,17.66,20.51,39.04,34.41,81.01,90,90.73,78.39
LSD,9.148,16.98,31.5,33.83,68.16,71.15,76.52,81.03
(S)-IHCH-7084,6.898,13.77,28.16,22.8,61.12,67.91,76.97,70.04
Cariprazine,5.593,3.989,18.31,14.7,42.08,63.43,65.43,57.7
Aripiprazole,8.067,3.719,16.74,17.04,35.06,57.28,67.55,56.3
Brexpiprazole,0.6914,2.962,11.92,10.33,28.24,50.73,50.23,39.16
