Rank,Feature,Mask_Value
1,Global_Cos_Angle,0.51383007
2,6.51_Global_Max,0.48232982
3,Lig_H6_Orientation,0.48043695
4,6.51_Global_Sum,0.4778702
5,6.52_Global_Max,0.47632927
6,6.52_Global_Norm,0.47244975
7,6.51_Global_Norm,0.4695663
8,6.52_Global_Sum,0.4688238
9,Atom0_6.52_Score,0.3653446
10,Atom3_6.52_Score,0.3653446
11,Atom1_6.52_Score,0.3653446
12,Atom5_6.52_Score,0.3653446
13,Atom7_6.52_Score,0.3653446
14,Atom4_6.52_Score,0.3653446
15,Atom2_6.52_Score,0.3653446
16,Atom8_6.52_Score,0.3653446
17,Atom6_6.52_Score,0.3653446
18,Atom2_6.51_Score,0.3563973
19,Atom5_6.51_Score,0.3563973
20,Atom6_6.51_Score,0.3563973
21,Atom4_6.51_Score,0.3563973
22,Atom1_6.51_Score,0.3563973
23,Atom7_6.51_Score,0.3563973
24,Atom0_6.51_Score,0.3563973
25,Atom8_6.51_Score,0.3563973
26,Atom3_6.51_Score,0.3563973
27,Atom7_6.51_Angle,0.3415807
28,Atom6_6.51_Angle,0.3415807
29,Atom2_6.51_Angle,0.3415807
30,Atom1_6.51_Angle,0.3415807
31,Atom8_6.51_Angle,0.3415807
32,Atom5_6.51_Angle,0.3415807
33,Atom0_6.51_Angle,0.3415807
34,Atom3_6.51_Angle,0.3415807
35,Atom4_6.51_Angle,0.3415807
36,Atom2_6.51_Dist,0.33183023
37,Atom1_6.51_Dist,0.33183023
38,Atom3_6.51_Dist,0.33183023
39,Atom5_6.51_Dist,0.33183023
40,Atom4_6.51_Dist,0.33183023
41,Atom6_6.51_Dist,0.33183023
42,Atom8_6.51_Dist,0.33183023
43,Atom7_6.51_Dist,0.33183023
44,Atom0_6.51_Dist,0.33183023
45,Atom5_6.52_Dist,0.32992092
46,Atom4_6.52_Dist,0.32992092
47,Atom0_6.52_Dist,0.32992092
48,Atom8_6.52_Dist,0.32992092
49,Atom3_6.52_Dist,0.32992092
50,Atom7_6.52_Dist,0.32992092
51,Atom1_6.52_Dist,0.32992092
52,Atom6_6.52_Dist,0.32992092
53,Atom2_6.52_Dist,0.32992092
54,Atom3_6.52_Angle,0.32741818
55,Atom1_6.52_Angle,0.32741818
56,Atom5_6.52_Angle,0.32741818
57,Atom7_6.52_Angle,0.32741818
58,Atom4_6.52_Angle,0.32741818
59,Atom0_6.52_Angle,0.32741818
60,Atom2_6.52_Angle,0.32741818
61,Atom8_6.52_Angle,0.32741818
62,Atom6_6.52_Angle,0.32741818
