Rank,Feature,Mask_Value
1,Global_Cos_Angle,0.4304027
2,6.51_Global_Max,0.42982027
3,6.52_Global_Max,0.41809854
4,6.51_Global_Sum,0.40970442
5,6.52_Global_Norm,0.40174216
6,6.52_Global_Sum,0.37837875
7,Lig_H6_Orientation,0.37481558
8,Atom7_6.51_Score,0.3695161
9,Atom1_6.51_Score,0.3695161
10,Atom2_6.51_Score,0.3695161
11,Atom3_6.51_Score,0.3695161
12,Atom0_6.51_Score,0.3695161
13,Atom4_6.51_Score,0.3695161
14,Atom6_6.51_Score,0.3695161
15,Atom5_6.51_Score,0.3695161
16,Atom8_6.51_Score,0.3695161
17,6.51_Global_Norm,0.36581868
18,Atom4_6.52_Angle,0.34302536
19,Atom0_6.52_Angle,0.34302536
20,Atom8_6.52_Angle,0.34302536
21,Atom7_6.52_Angle,0.34302536
22,Atom5_6.52_Angle,0.34302536
23,Atom2_6.52_Angle,0.34302536
24,Atom3_6.52_Angle,0.34302536
25,Atom6_6.52_Angle,0.34302536
26,Atom1_6.52_Angle,0.34302536
27,Atom6_6.51_Angle,0.32616165
28,Atom2_6.51_Angle,0.32616165
29,Atom0_6.51_Angle,0.32616165
30,Atom5_6.51_Angle,0.32616165
31,Atom8_6.51_Angle,0.32616165
32,Atom7_6.51_Angle,0.32616165
33,Atom3_6.51_Angle,0.32616165
34,Atom4_6.51_Angle,0.32616165
35,Atom1_6.51_Angle,0.32616165
36,Atom1_6.52_Score,0.3200568
37,Atom8_6.52_Score,0.3200568
38,Atom2_6.52_Score,0.3200568
39,Atom0_6.52_Score,0.3200568
40,Atom7_6.52_Score,0.3200568
41,Atom3_6.52_Score,0.3200568
42,Atom4_6.52_Score,0.3200568
43,Atom5_6.52_Score,0.3200568
44,Atom6_6.52_Score,0.3200568
45,Atom3_6.52_Dist,0.309107
46,Atom4_6.52_Dist,0.309107
47,Atom8_6.52_Dist,0.309107
48,Atom5_6.52_Dist,0.309107
49,Atom2_6.52_Dist,0.309107
50,Atom6_6.52_Dist,0.309107
51,Atom0_6.52_Dist,0.309107
52,Atom7_6.52_Dist,0.309107
53,Atom1_6.52_Dist,0.309107
54,Atom1_6.51_Dist,0.3031509
55,Atom5_6.51_Dist,0.3031509
56,Atom2_6.51_Dist,0.3031509
57,Atom3_6.51_Dist,0.3031509
58,Atom4_6.51_Dist,0.3031509
59,Atom6_6.51_Dist,0.3031509
60,Atom7_6.51_Dist,0.3031509
61,Atom8_6.51_Dist,0.3031509
62,Atom0_6.51_Dist,0.3031509
