Rank,Feature,Mask_Value
1,Global_Cos_Angle,0.6285831
2,6.52_Global_Norm,0.61551845
3,6.52_Global_Sum,0.60896224
4,Lig_H6_Orientation,0.59603584
5,Atom8_6.52_Angle,0.59184676
6,Atom7_6.52_Angle,0.59184676
7,Atom6_6.52_Angle,0.59184676
8,Atom5_6.52_Angle,0.59184676
9,Atom3_6.52_Angle,0.59184676
10,Atom0_6.52_Angle,0.59184676
11,Atom2_6.52_Angle,0.59184676
12,Atom1_6.52_Angle,0.59184676
13,Atom4_6.52_Angle,0.59184676
14,6.52_Global_Max,0.5852129
15,Atom4_6.52_Dist,0.57118726
16,Atom3_6.52_Dist,0.57118726
17,Atom1_6.52_Dist,0.57118726
18,Atom8_6.52_Dist,0.57118726
19,Atom7_6.52_Dist,0.57118726
20,Atom6_6.52_Dist,0.57118726
21,Atom0_6.52_Dist,0.57118726
22,Atom2_6.52_Dist,0.57118726
23,Atom5_6.52_Dist,0.57118726
24,6.51_Global_Norm,0.56335694
25,Atom7_6.51_Dist,0.54903907
26,Atom8_6.51_Dist,0.54903907
27,Atom2_6.51_Dist,0.54903907
28,Atom1_6.51_Dist,0.54903907
29,Atom6_6.51_Dist,0.54903907
30,Atom5_6.51_Dist,0.54903907
31,Atom4_6.51_Dist,0.54903907
32,Atom3_6.51_Dist,0.54903907
33,Atom0_6.51_Dist,0.54903907
34,Atom5_6.51_Angle,0.54077995
35,Atom3_6.51_Angle,0.54077995
36,Atom1_6.51_Angle,0.54077995
37,Atom2_6.51_Angle,0.54077995
38,Atom0_6.51_Angle,0.54077995
39,Atom7_6.51_Angle,0.54077995
40,Atom4_6.51_Angle,0.54077995
41,Atom6_6.51_Angle,0.54077995
42,Atom8_6.51_Angle,0.54077995
43,6.51_Global_Max,0.5086188
44,6.51_Global_Sum,0.5050483
45,Atom8_6.52_Score,0.49827304
46,Atom5_6.52_Score,0.49827304
47,Atom0_6.52_Score,0.49827304
48,Atom1_6.52_Score,0.49827304
49,Atom3_6.52_Score,0.49827304
50,Atom2_6.52_Score,0.49827304
51,Atom6_6.52_Score,0.49827304
52,Atom7_6.52_Score,0.49827304
53,Atom4_6.52_Score,0.49827304
54,Atom8_6.51_Score,0.48212296
55,Atom5_6.51_Score,0.48212296
56,Atom6_6.51_Score,0.48212296
57,Atom7_6.51_Score,0.48212296
58,Atom4_6.51_Score,0.48212296
59,Atom2_6.51_Score,0.48212296
60,Atom3_6.51_Score,0.48212296
61,Atom1_6.51_Score,0.48212296
62,Atom0_6.51_Score,0.48212296
