Feature,Mask_Value,Count
ELF_Anisotropy,0.6290841102600098,1
6.51_Global_Norm,0.6208709478378296,1
6.52_Dist,0.6127818822860718,9
Global_Cos_Angle,0.610846757888794,1
6.52_Angle,0.6079087853431702,9
6.52_Global_Norm,0.6018245220184326,1
6.52_Global_Sum,0.5985594391822815,1
6.51_Global_Sum,0.5913975238800049,1
Lig_H6_Orientation,0.5895444750785828,1
6.51_Global_Max,0.5878518223762512,1
6.52_Global_Max,0.5815394520759583,1
ELF_H6_Axis_Cos,0.5388645529747009,1
6.51_Dist,0.533450722694397,9
6.51_Angle,0.5051435828208923,9
6.52_Score,0.5047587752342224,9
6.51_Score,0.4961155951023102,9
