Compound,True_Eff,Pred_Diff_Score,Pred_Class,True_Class,Correct
ARI,7.14285746216774,-0.48298356,Weaker,Weaker,1
BRE,0.0,-0.6147054,Weaker,Weaker,1
CAR,14.28571492433548,-0.40398607,Weaker,Weaker,1
LSD,28.57142984867096,-0.6201601,Weaker,Weaker,1
Lisu,46.42857015132904,-0.5416652,Weaker,Weaker,1
R10,80.35714030265808,-0.7573849,Weaker,Similar,0
ROT,85.71428656578064,-0.4996882,Weaker,Similar,0
S10,60.71428656578064,-0.6214164,Weaker,Weaker,1
S84,21.42857164144516,-1.4490294,Weaker,Weaker,1
UNC,78.57142686843872,-0.56943315,Weaker,Similar,0
