Compound,True_Efficacy,Predicted_Efficacy,Difference,Abs_Error
Dopa,100.0,99.56613977750142,-0.4338602224985806,0.4338602224985806
ROT,98.92433867,98.78299434979756,-0.14134432020243537,0.14134432020243537
UNC,87.8380594,88.47738901774089,0.6393296177408843,0.6393296177408843
R10,86.51809796,87.19231883684795,0.6742208768479401,0.6742208768479401
S10,75.42082128,76.5688419342041,1.1480206542041032,1.1480206542041032
Lisu,65.54775171,67.00894037882487,1.4611886688248745,1.4611886688248745
LSD,49.97108981,52.00225114822388,2.0311613382238747,2.0311613382238747
S84,44.83229257,43.044321735699974,-1.787970834300026,1.787970834300026
ARI,33.81247952,34.12730892499288,0.31482940499288503,0.31482940499288503
BRE,25.17287268,25.643547375996906,0.47067469599690526,0.47067469599690526
