Rank,Feature,Importance
1,ELF_Anisotropy,0.09708031439755528
2,ELF_H6_Axis_Cos,0.09137777676913601
3,Global_Cos_Angle,0.036003244823318466
4,6.52_Global_Max,0.033473111406120096
5,6.51_Global_Max,0.02672516697556299
6,Atom8_6.52_Score,0.02370551333836462
7,Atom2_6.52_Score,0.023506317553241562
8,Atom6_6.52_Score,0.02236896742181663
9,Atom4_6.52_Score,0.02090962615532133
10,Atom3_6.52_Score,0.02026246492121244
11,Atom1_6.52_Dist,0.019577958905603893
12,Atom7_6.52_Score,0.01932995720131885
13,Atom5_6.52_Score,0.019055123470607956
14,Atom1_6.52_Score,0.01900407108456005
15,Atom8_6.52_Dist,0.01724220903093915
16,Atom0_6.51_Score,0.017126885995602283
17,Atom4_6.51_Dist,0.016827396464372552
18,Atom8_6.52_Angle,0.016176101244030412
19,Atom4_6.51_Score,0.015545971953998743
20,Atom5_6.51_Score,0.015069073166766356
21,Atom3_6.51_Angle,0.014885727285519079
22,Atom1_6.52_Angle,0.014771902401391979
23,Atom8_6.51_Score,0.01467422522282714
24,Atom2_6.52_Dist,0.014107572605841287
25,Atom3_6.51_Score,0.014088714280701567
26,6.51_Global_Sum,0.013940727811124818
27,Atom8_6.51_Angle,0.013907664686952013
28,Atom1_6.51_Score,0.013679257395776776
29,Atom7_6.51_Score,0.012624738192787966
30,Atom1_6.51_Dist,0.012429385672249698
