Rank,Feature,Mask_Value
1,Atom4_6.51_Score,0.6043944
2,Atom2_6.51_Score,0.5535396
3,Atom4_6.51_Dist,0.5458963
4,Atom2_6.52_Score,0.5368215
5,Atom3_6.51_Score,0.5336607
6,Atom2_6.51_Dist,0.5229657
7,Atom4_6.52_Score,0.5116961
8,Atom5_6.51_Angle,0.5091701
9,Global_Cos_Angle,0.50813115
10,Atom3_6.51_Dist,0.5006381
11,6.52_Global_Max,0.49971464
12,Atom4_6.51_Angle,0.4970458
13,Atom5_6.51_Score,0.4958179
14,Atom3_6.51_Angle,0.49018842
15,6.51_Global_Norm,0.4878113
16,Atom0_6.51_Angle,0.48720342
17,Atom1_6.51_Angle,0.48685348
18,Atom4_6.52_Angle,0.48681515
19,6.51_Global_Max,0.48580012
20,Atom3_6.52_Score,0.48556346
21,Atom2_6.51_Angle,0.48518533
22,Atom2_6.52_Dist,0.48494524
23,Atom0_6.52_Angle,0.48457938
24,Atom0_6.52_Score,0.48418972
25,Atom5_6.51_Dist,0.48411325
26,Atom7_6.52_Dist,0.4839492
27,Atom5_6.52_Angle,0.4838655
28,6.51_Global_Sum,0.48337257
29,Atom4_6.52_Dist,0.48324725
30,6.52_Global_Sum,0.4830681
31,Atom7_6.52_Score,0.48287797
32,Atom2_6.52_Angle,0.4828285
33,Atom5_6.52_Score,0.48255628
34,Atom8_6.52_Score,0.48215377
35,Atom8_6.52_Dist,0.482052
36,Atom1_6.52_Angle,0.48195645
37,6.52_Global_Norm,0.48155493
38,Atom6_6.52_Dist,0.4810662
39,Atom5_6.52_Dist,0.4801878
40,Atom6_6.52_Score,0.47910613
41,Atom3_6.52_Angle,0.47906366
42,Atom3_6.52_Dist,0.4790002
43,Atom7_6.51_Score,0.47816318
44,Atom6_6.51_Score,0.47773054
45,Atom8_6.51_Score,0.47733462
46,Atom6_6.51_Angle,0.4770702
47,Atom1_6.52_Score,0.47675678
48,Atom8_6.51_Angle,0.47643033
49,Atom6_6.51_Dist,0.47642383
50,Atom7_6.51_Angle,0.4763482
51,Atom1_6.52_Dist,0.47615784
52,Atom1_6.51_Dist,0.4761534
53,Atom1_6.51_Score,0.47613373
54,Atom0_6.52_Dist,0.4760916
55,Atom0_6.51_Dist,0.47599417
56,Atom0_6.51_Score,0.4758184
57,Atom8_6.51_Dist,0.47577974
58,Atom7_6.51_Dist,0.47572067
59,Atom6_6.52_Angle,0.47547773
60,Atom8_6.52_Angle,0.47539485
61,Atom7_6.52_Angle,0.4750966
