Time_ns,RMSD_A,Compound,Replicate,Efficacy_Type
0.0,0.0,ARI,2,Partial Agonist
0.1,0.8076319027358818,ARI,2,Partial Agonist
0.2,1.3413409051022187,ARI,2,Partial Agonist
0.3,1.2610464835632225,ARI,2,Partial Agonist
0.4,1.539433726933756,ARI,2,Partial Agonist
0.5,0.9530835904715433,ARI,2,Partial Agonist
0.6,0.8852815000348115,ARI,2,Partial Agonist
0.7,1.6919768010965344,ARI,2,Partial Agonist
0.8,1.5060872170896684,ARI,2,Partial Agonist
0.9,1.8931572543415154,ARI,2,Partial Agonist
1.0,1.925728989837565,ARI,2,Partial Agonist
1.1,2.6521857011381766,ARI,2,Partial Agonist
1.2,2.53747549475346,ARI,2,Partial Agonist
1.3,1.6756444641902222,ARI,2,Partial Agonist
1.4,1.6582149790696743,ARI,2,Partial Agonist
1.5,1.1773205314317665,ARI,2,Partial Agonist
1.6,2.1723892874572734,ARI,2,Partial Agonist
1.7,1.2343024229717052,ARI,2,Partial Agonist
1.8,1.2981399838974643,ARI,2,Partial Agonist
1.9,1.515620341007854,ARI,2,Partial Agonist
2.0,1.5886845634400417,ARI,2,Partial Agonist
2.1,2.338906632453286,ARI,2,Partial Agonist
2.2,2.502039086317614,ARI,2,Partial Agonist
2.3,2.933630927297714,ARI,2,Partial Agonist
2.4,2.5688960194333936,ARI,2,Partial Agonist
2.5,1.9695114595940002,ARI,2,Partial Agonist
2.6,1.9732330684388804,ARI,2,Partial Agonist
2.7,2.6150679084712176,ARI,2,Partial Agonist
2.8,1.6485655037308435,ARI,2,Partial Agonist
2.9,2.15994208987775,ARI,2,Partial Agonist
3.0,2.3646942643505624,ARI,2,Partial Agonist
3.1,3.5887045260894883,ARI,2,Partial Agonist
3.2,3.518418073270366,ARI,2,Partial Agonist
3.3,4.161257463117049,ARI,2,Partial Agonist
3.4,2.8834690854919987,ARI,2,Partial Agonist
3.5,4.040864503084821,ARI,2,Partial Agonist
3.6,3.419657435828336,ARI,2,Partial Agonist
3.7,4.440993739094911,ARI,2,Partial Agonist
3.8,4.669063840552028,ARI,2,Partial Agonist
3.9,5.05163171239891,ARI,2,Partial Agonist
4.0,3.907269596740654,ARI,2,Partial Agonist
4.1,3.6644727502444168,ARI,2,Partial Agonist
4.2,2.8392371937782253,ARI,2,Partial Agonist
4.3,3.0039986604221416,ARI,2,Partial Agonist
4.4,2.8461594153636183,ARI,2,Partial Agonist
4.5,3.093550216786084,ARI,2,Partial Agonist
4.6,3.3868703401051343,ARI,2,Partial Agonist
4.7,3.9441885292485903,ARI,2,Partial Agonist
